# {'participant': 'clonesa_g2_001', 'age': '32', 'sex': 'F', 'session': 'N', 'EEG': 'Yes', 'Block number': '4', 'duration in min': '5', 'P.freq': '1: 40-80 s', 'date': '2022_mars_24_1448', 'expName': 'FT-RSGT', 'frameRate': 59.95023090743548}
condition,subj, age,sex,block_num,EEG,probe_freq,trial,time, stimulus, response
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,0,0.0004301071,stimulus,
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,1,0.7502789497,stimulus,
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,1,0.7819359303,tap,l
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,2,1.5002779961,stimulus,
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,2,1.5014059544,tap,l
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,3,2.2502648830,stimulus,
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,3,2.2765140533,tap,l
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,3,2.9752650261,tap,l
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,4,3.0002648830,stimulus,
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,4,3.7427999973,tap,s
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,5,3.7502660751,stimulus,
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,5,4.4904010296,tap,l
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,6,4.5003550053,stimulus,
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,6,5.1889350414,tap,s
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,7,5.2503530979,stimulus,
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,7,5.9442729950,tap,s
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,8,6.0003540516,stimulus,
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,8,6.7443900108,tap,l
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,9,6.7503559589,stimulus,
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,10,7.5003540516,stimulus,
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,10,7.5607440472,tap,s
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,11,8.2503719330,stimulus,
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,11,8.2593679428,tap,s
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,11,8.9416399002,tap,l
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,12,9.0003910065,stimulus,
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,12,9.7215189934,tap,s
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,13,9.7504100800,stimulus,
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,13,10.4891278744,tap,s
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,14,10.5004289150,stimulus,
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,14,11.1633610725,tap,l
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,15,11.2504460812,stimulus,
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,15,11.9188950062,tap,l
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,16,12.0004689693,stimulus,
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,16,12.6620330811,tap,s
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,17,12.7504940033,stimulus,
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,17,13.4176011086,tap,l
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,18,13.5005109310,stimulus,
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,18,14.2257668972,tap,s
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,19,14.2505309582,stimulus,
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,20,15.0005540848,stimulus,
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,20,15.0055658817,tap,s
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,20,15.7163670063,tap,s
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,21,15.7505700588,stimulus,
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,21,16.4273669720,tap,l
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,22,16.5006508827,stimulus,
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,22,17.1746520996,tap,s
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,23,17.2506170273,stimulus,
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,23,17.9015700817,tap,l
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,24,18.0006470680,stimulus,
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,24,18.6772820950,tap,l
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,25,18.7506370544,stimulus,
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,25,19.3718969822,tap,l
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,26,19.5006570816,stimulus,
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,26,20.0705139637,tap,s
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,27,20.2506740093,stimulus,
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,27,20.8502850533,tap,l
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,28,21.0006909370,stimulus,
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,28,21.6098239422,tap,s
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,29,21.7507069111,stimulus,
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,29,22.3733689785,tap,s
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,30,22.5007309914,stimulus,
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,30,23.1491029263,tap,s
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,31,23.2507491112,stimulus,
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,31,23.9410130978,tap,l
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,32,24.0007700920,stimulus,
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,32,24.6558799744,tap,l
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,33,24.7507939339,stimulus,
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,33,25.4072940350,tap,s
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,34,25.5008049011,stimulus,
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,34,26.2074859142,tap,l
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,35,26.2508239746,stimulus,
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,35,26.9264259338,tap,s
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,36,27.0008420944,stimulus,
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,36,27.7143769264,tap,s
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,37,27.7508609295,stimulus,
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,37,28.4657208920,tap,l
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,38,28.5008740425,stimulus,
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,38,29.1764810085,tap,l
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,39,29.2508881092,stimulus,
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,39,29.9928319454,tap,l
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,40,30.0009059906,stimulus,
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,41,30.7509260178,stimulus,
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,41,30.7726900578,tap,l
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,41,31.4876139164,tap,s
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,42,31.5009601116,stimulus,
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,42,32.1902980804,tap,l
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,43,32.2509589195,stimulus,
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,44,33.0009748936,stimulus,
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,44,33.0066430569,tap,s
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,44,33.7255721092,tap,s
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,45,33.7509920597,stimulus,
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,45,34.4403820038,tap,l
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,46,34.5010058880,stimulus,
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,46,35.1918559074,tap,l
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,47,35.2510290146,stimulus,
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,47,35.9473829269,tap,s
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,48,36.0010430813,stimulus,
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,48,36.6540379524,tap,l
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,49,36.7510700226,stimulus,
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,49,37.4216580391,tap,s
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,50,37.5010778904,stimulus,
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,50,38.2095251083,tap,s
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,51,38.2510910034,stimulus,
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,51,38.9041659832,tap,l
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,52,39.0011160374,stimulus,
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,52,39.6108870506,tap,l
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,53,39.7511589527,stimulus,
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,53,40.3256928921,tap,s
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,54,40.5011560917,stimulus,
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,54,41.1013948917,tap,s
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,55,41.2511749268,stimulus,
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,55,41.8163919449,tap,l
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,56,42.0011889935,stimulus,
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,56,42.5840198994,tap,l
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,57,42.7512218952,stimulus,
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,57,43.3029680252,tap,l
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,58,43.5012319088,stimulus,
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,58,44.0462510586,tap,l
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,59,44.2513129711,stimulus,
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,59,44.7650680542,tap,s
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,60,45.0013139248,stimulus,
