# {'participant': 'clonesa_g2_002', 'age': '27', 'sex': 'M', 'session': 'Ar', 'EEG': 'Yes', 'Block number': '3', 'duration in min': '10', 'P.freq': '1: 40-80 s', 'date': '2022_mars_31_1421', 'expName': 'FT-RSGT', 'frameRate': 59.952715972795964}
condition,subj, age,sex,block_num,EEG,probe_freq,trial,time, stimulus, response
active_rhTMS_3,clonesa_g2_002,27,M,3,True,1_probe_min,0,0.0010149479,stimulus,
active_rhTMS_3,clonesa_g2_002,27,M,3,True,1_probe_min,0,0.2437109947,tap,l
active_rhTMS_3,clonesa_g2_002,27,M,3,True,1_probe_min,1,0.7507219315,stimulus,
active_rhTMS_3,clonesa_g2_002,27,M,3,True,1_probe_min,1,0.8365159035,tap,l
active_rhTMS_3,clonesa_g2_002,27,M,3,True,1_probe_min,1,1.4254009724,tap,l
active_rhTMS_3,clonesa_g2_002,27,M,3,True,1_probe_min,2,1.5007319450,stimulus,
active_rhTMS_3,clonesa_g2_002,27,M,3,True,1_probe_min,2,2.2007839680,tap,s
active_rhTMS_3,clonesa_g2_002,27,M,3,True,1_probe_min,3,2.2507569790,stimulus,
active_rhTMS_3,clonesa_g2_002,27,M,3,True,1_probe_min,3,2.9478869438,tap,l
active_rhTMS_3,clonesa_g2_002,27,M,3,True,1_probe_min,4,3.0007679462,stimulus,
active_rhTMS_3,clonesa_g2_002,27,M,3,True,1_probe_min,4,3.7151110172,tap,s
active_rhTMS_3,clonesa_g2_002,27,M,3,True,1_probe_min,5,3.7507889271,stimulus,
active_rhTMS_3,clonesa_g2_002,27,M,3,True,1_probe_min,1,4.0939450264,pulse,NA
active_rhTMS_3,clonesa_g2_002,27,M,3,True,1_probe_min,2,4.2446649075,pulse,NA
active_rhTMS_3,clonesa_g2_002,27,M,3,True,1_probe_min,3,4.3953769207,pulse,NA
active_rhTMS_3,clonesa_g2_002,27,M,3,True,1_probe_min,5,4.4337780476,tap,l
active_rhTMS_3,clonesa_g2_002,27,M,3,True,1_probe_min,6,4.5008139610,stimulus,
active_rhTMS_3,clonesa_g2_002,27,M,3,True,1_probe_min,5,4.5461158752,pulse,NA
active_rhTMS_3,clonesa_g2_002,27,M,3,True,1_probe_min,6,5.1847679615,tap,l
active_rhTMS_3,clonesa_g2_002,27,M,3,True,1_probe_min,7,5.2508230209,stimulus,
active_rhTMS_3,clonesa_g2_002,27,M,3,True,1_probe_min,8,6.0008380413,stimulus,
